--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
067.572  003.624  000.293: require('nvim-treesitter-textsubjects')
067.591  003.656  000.032: sourcing /home/freja/.local/share/nvim/lazy/nvim-treesitter-textsubjects/plugin/nvim-treesitter-textsubjects.vim
067.595  003.683  000.028: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
067.606  000.004  000.004: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
067.621  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
068.274  000.086  000.086: require('nvim-treesitter.configs')
068.277  000.468  000.382: require('nvim-treesitter-textobjects')
068.452  000.051  000.051: require('nvim-treesitter.info')
068.529  000.075  000.075: require('nvim-treesitter.shell_command_selectors')
068.551  000.231  000.105: require('nvim-treesitter.install')
068.595  000.042  000.042: require('nvim-treesitter.statusline')
068.659  000.063  000.063: require('nvim-treesitter.query_predicates')
068.662  000.383  000.047: require('nvim-treesitter')
068.753  000.044  000.044: require('nvim-treesitter.textobjects.shared')
068.757  000.091  000.047: require('nvim-treesitter.textobjects.select')
068.865  000.040  000.040: require('nvim-treesitter.textobjects.attach')
068.920  000.053  000.053: require('nvim-treesitter.textobjects.repeatable_move')
068.926  000.143  000.050: require('nvim-treesitter.textobjects.move')
069.379  000.056  000.056: require('nvim-treesitter.textobjects.swap')
069.526  000.059  000.059: require('nvim-treesitter.textobjects.lsp_interop')
069.556  001.762  000.562: sourcing /home/freja/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
069.559  001.790  000.028: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
069.568  000.003  000.003: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
069.577  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
069.920  000.241  000.241: require('nvim-treesitter-refactor')
069.932  000.265  000.024: sourcing /home/freja/.local/share/nvim/lazy/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
069.935  000.290  000.025: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
069.940  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
069.947  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
070.981  000.994  000.994: sourcing /home/freja/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
